
Contract: .migrations
Function Name | Function Signature
InvalidMinMaxBlockNumber | 0x933ee623
InvalidMinMaxForPrice | 0x1608d41a
InvalidOraclePrice   | 0x59bfa365
InvalidRealtimeBidAsk | 0x68e18ffe
InvalidRealtimeBlockHash | 0xbafc9132
InvalidRealtimeFeedId | 0x81cecccb
InvalidRealtimeFeedLengths | 0x374a1a6a
InvalidRealtimePrices | 0x7e9d0604
InvalidSignature     | 0x42d750dc
InvalidSignerMinMaxPrice | 0x61eff54a
MaskIndexOutOfBounds | 0x143e2156
MaxOracleSigners     | 0x345da1b3
MaxPriceAgeExceeded  | 0x2b6e7c3f
MaxPricesNotSorted   | 0xf5055b94
MaxRefPriceDeviationExceeded | 0x3d1986f7
MaxSignerIndex       | 0xd112babc
MinOracleSigners     | 0xa9e62212
MinPricesNotSorted   | 0x4b992b34
NonEmptyTokensWithPrices | 0xef2df9b5
PriceAlreadySet      | 0xded099de
PriceFeedNotUpdated  | 0x90ce1673
RealtimeMaxPriceAgeExceeded | 0x48893179
Unauthorized         | 0xa35b150b
MAX_SIGNERS          | 0x59ecd657
MAX_SIGNER_INDEX     | 0xb74da61d
SIGNER_INDEX_LENGTH  | 0x3b9f9bd2
clearAllPrices       | 0x00ccf155
getPriceFeedMultiplier | 0xe7b91834
getPrimaryPrice      | 0x5dcf7194
getRealtimeFeedMultiplier | 0x02f5fe2a
getStablePrice       | 0xd1358ea9
getTokensWithPrices  | 0x51b5107a
getTokensWithPricesCount | 0x7901828d
oracleStore          | 0x392bf7f6
primaryPrices        | 0xa2bbd604
realtimeFeedVerifier | 0xd09efc41
roleStore            | 0x4a4a7b04
setPrices            | 0xac02e2d2
setPrimaryPrice      | 0xf05bfaa2
validatePrices       | 0xeb6bd696
validateRealtimeFeeds | 0xf81a03c3

Contract: OracleStore
Function Name | Function Signature
--------------------------------
Unauthorized         | 0xa35b150b
addSigner            | 0xeb12d61e
eventEmitter         | 0x9ff78c30
getSigner            | 0x3ffefe4e
getSignerCount       | 0xb715be81
getSigners           | 0xdaf6faa6
removeSigner         | 0x0e316ab7
roleStore            | 0x4a4a7b04

Contract: OrderEventUtils
Function Name | Function Signature
--------------------------------

Contract: OrderHandler
Function Name | Function Signature
--------------------------------
CompactedArrayOutOfBounds | 0xbdec9c0d
DisabledFeature      | 0xdd70e0c9
DisabledMarket       | 0x09f8c937
EmptyCompactedBlockNumber | 0x693ebfba
EmptyMarket          | 0x05fbc1ae
EmptyOrder           | 0x16307797
EndOfOracleSimulation | 0x4e48dcda
InsufficientExecutionFee | 0x5dac504d
InsufficientExecutionGas | 0xbb416f93
InsufficientExecutionGasForErrorHandling | 0x79293964
InsufficientHandleExecutionErrorGas | 0x3083b9e5
InvalidKeeperForFrozenOrder | 0xe5feddc0
InvalidPrimaryPricesForSimulation | 0x663de023
InvalidSwapMarket    | 0xcb9bd134
OrderNotUpdatable    | 0x9aba92cb
RequestNotYetCancellable | 0xe8266438
Unauthorized         | 0xa35b150b
UnsupportedOracleBlockNumberType | 0xb6029281
UnsupportedOrderType | 0xc1c00831
OracleError          | 0x9966b250
_executeOrder        | 0xb08b94f8
cancelOrder          | 0x7489ec23
createOrder          | 0xdcfce366
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
executeOrder         | 0x97017239
oracle               | 0x7dc0d1d0
orderVault           | 0x93845e46
referralStorage      | 0x006cc35e
roleStore            | 0x4a4a7b04
simulateExecuteOrder | 0x6f748dfb
swapHandler          | 0x8a53aaac
updateOrder          | 0x4477f2c6

Contract: OrderStoreUtils
Function Name | Function Signature
--------------------------------
OrderNotFound        | 0x59485ed9
ACCEPTABLE_PRICE     | 0x3d59fea5
ACCOUNT              | 0xe90524f2
CALLBACK_CONTRACT    | 0x8f7f2048
CALLBACK_GAS_LIMIT   | 0x33d608f1
DECREASE_POSITION_SWAP_TYPE | 0xd1550af3
EXECUTION_FEE        | 0x4675e8eb
INITIAL_COLLATERAL_DELTA_AMOUNT | 0x6ecd534a
INITIAL_COLLATERAL_TOKEN | 0x8d5dc584
IS_FROZEN            | 0x91cb3e3c
IS_LONG              | 0x3332c5be
MARKET               | 0xf46f16c2
MIN_OUTPUT_AMOUNT    | 0x797cb5a2
ORDER_TYPE           | 0xea00f333
RECEIVER             | 0xad7430cc
SHOULD_UNWRAP_NATIVE_TOKEN | 0x04a36e20
SIZE_DELTA_USD       | 0xd6a3502a
SWAP_PATH            | 0x52bc6257
TRIGGER_PRICE        | 0xa31a6411
UI_FEE_RECEIVER      | 0x566a6e66
UPDATED_AT_BLOCK     | 0xf145e54a
get                  | 0xfdfc26f3

Contract: OrderUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyAccount         | 0xdd7016a2
EmptyMarket          | 0x05fbc1ae
EmptyOrder           | 0x16307797
EmptyReceiver        | 0xd551823d
InsufficientExecutionFee | 0x5dac504d
InsufficientWntAmountForExecutionFee | 0x3a78cd7e
InvalidOrderPrices   | 0x0481a15a
InvalidPositionMarket | 0x182e30e3
InvalidSwapMarket    | 0xcb9bd134
MaxCallbackGasLimitExceeded | 0x10aeb692
MaxSwapPathLengthExceeded | 0x9da36043
